event_time,user_id,session_id,page_url,referrer_url,action,product_id,price,user_agent
2025-08-29 10:30:19,u03913,s005679,/checkout,https://www.facebook.com/,checkout,sku00001,119.84,Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) Mobile/15E148
2025-08-28 16:17:51,u00801,s001421,/search?utm=email&q=29,https://www.facebook.com/,view,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/119.0
2025-08-29 18:17:17,u00548,s025523,/category/home,,view,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
2025-08-29 16:14:17,u03771,s011616,/checkout,,view,sku00468,103.06,Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) Mobile/15E148
2025-08-27 13:25:54,u04963,s001062,/search?utm=email&q=472,https://newsletter.mitienda.cl/campana,view,,,Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) Mobile/15E148
2025-08-28 17:03:38,u04730,s005770,/category/fashion?utm=seo&q=776,https://newsletter.mitienda.cl/campana,view,,,Mozilla/5.0 (Linux; Android 13; Pixel 5) Mobile Chrome/120.0
2025-08-29 16:51:25,u04812,s000933,/category/fashion?utm=email&q=615,https://www.google.com/search?q=tienda+online,add_to_cart,,,Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) Mobile/15E148
2025-08-28 11:55:46,u02294,s010853,/category/sports,https://newsletter.mitienda.cl/campana,view,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
2025-08-28 18:55:58,u02249,s018481,/category/electronics?utm=email&q=553,https://partner-blog.com/review,view,,,Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) Mobile/15E148
2025-08-29 11:47:57,u04115,s012573,/category/fashion?utm=email&q=418,https://www.instagram.com/ads/xyz,view,,,Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) Mobile/15E148
2025-08-29 09:36:12,u01686,s006783,/category/home,https://partner-blog.com/review,view,,,Mozilla/5.0 (Linux; Android 13; Pixel 5) Mobile Chrome/120.0
2025-08-27 13:42:18,u04179,s000373,/search,https://www.google.com/search?q=tienda+online,view,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15
2025-08-29 13:20:38,u02582,s008499,/category/electronics?utm=seo&q=620,https://www.instagram.com/ads/xyz,view,,,Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) Mobile/15E148
2025-08-28 12:21:20,u00635,s016711,/category/electronics,https://www.facebook.com/,view,,,Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) Mobile/15E148
2025-08-29 13:09:15,u00082,s029041,/category/fashion?utm=ads&q=334,https://newsletter.mitienda.cl/campana,view,,,Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) Mobile/15E148
2025-08-28 10:12:48,u01224,s010079,/checkout,https://newsletter.mitienda.cl/campana,checkout,sku00233,211.56,Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) Mobile/15E148
2025-08-28 11:08:37,u02039,s028186,/thankyou,,purchase,sku00080,119.6,Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) Mobile/15E148
2025-08-27 18:01:06,u01498,s022898,/checkout,https://www.google.com/search?q=tienda+online,add_to_cart,sku00321,178.52,Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) Mobile/15E148
2025-08-29 10:05:30,u00060,s019146,/search,https://newsletter.mitienda.cl/campana,view,,,Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) Mobile/15E148
2025-08-28 13:06:16,u02145,s019902,/category/sports?utm=ads&q=733,,view,,,Mozilla/5.0 (Linux; Android 13; Pixel 5) Mobile Chrome/120.0
2025-08-28 13:50:27,u02605,s006495,/category/sports?utm=email&q=760,https://partner-blog.com/review,view,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/119.0
2025-08-29 17:28:58,u04532,s004892,/search,https://www.facebook.com/,view,,,Mozilla/5.0 (Linux; Android 13; Pixel 5) Mobile Chrome/120.0
2025-08-28 09:53:28,u00728,s028726,/category/sports?utm=email&q=379,,view,,,Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) Mobile/15E148
2025-08-27 13:36:46,u00937,s011031,/category/fashion,https://newsletter.mitienda.cl/campana,add_to_cart,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/119.0
2025-08-27 18:55:07,u03766,s029953,/category/sports?utm=ads&q=2,https://www.instagram.com/ads/xyz,view,,,Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) Mobile/15E148
2025-08-29 14:45:48,u02435,s021282,/category/sports,https://partner-blog.com/review,view,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/119.0
2025-08-28 14:31:19,u03566,s001224,/category/electronics?utm=ads&q=663,https://www.instagram.com/ads/xyz,add_to_cart,,,Mozilla/5.0 (iPad; CPU OS 15_5 like Mac OS X) Mobile/15E148
2025-08-27 11:29:12,u01255,s020071,/category/home,https://partner-blog.com/review,view,,,Mozilla/5.0 (Linux; Android 13; Pixel 5) Mobile Chrome/120.0
