post_id,user,ts,text,hashtags
p0_00000,user_0138,2025-08-25 08:57:11,Tips de optimización en PySpark y particionado,#kafka #spark
p0_00001,user_0195,2025-08-25 08:41:40,Delta y formatos columnares mejoran el rendimiento,#nlp
p0_00002,user_0070,2025-08-25 10:54:23,Arquitecturas de datos modernas en la nube,#cloud #bigdata
p0_00003,user_0194,2025-08-25 09:35:41,Tips de optimización en PySpark y particionado,#opensource #spark
p0_00004,user_0073,2025-08-25 09:41:19,¿Cuál es tu librería favorita para ETL?,#datascience #deeplearning
p0_00005,user_0245,2025-08-25 18:26:18,ML y NLP avanzan cada semana,#ai
p0_00006,user_0268,2025-08-25 14:15:09,Checkpointing y tolerancia a fallos en streaming,#devops
p0_00007,user_0162,2025-08-25 18:16:55,Aprendiendo Spark para procesar datos masivos,#delta #streaming
p0_00008,user_0249,2025-08-25 19:37:15,Delta y formatos columnares mejoran el rendimiento,#analytics #delta #etl
p0_00009,user_0043,2025-08-25 11:18:12,Optimización con broadcast joins y cache,#kafka #ai
p0_00010,user_0201,2025-08-25 18:05:20,Optimización con broadcast joins y cache,#opensource #ai
p0_00011,user_0097,2025-08-25 08:17:48,Estrategias para detectar tendencias en redes,#analytics #ai
p0_00012,user_0208,2025-08-25 12:10:16,Delta y formatos columnares mejoran el rendimiento,#ai
p0_00013,user_0120,2025-08-25 17:00:25,Delta y formatos columnares mejoran el rendimiento,#streaming
p0_00014,user_0194,2025-08-25 16:05:30,Checkpointing y tolerancia a fallos en streaming,#datascience #python
p0_00015,user_0132,2025-08-25 08:22:56,Checkpointing y tolerancia a fallos en streaming,#kafka
p0_00016,user_0216,2025-08-25 19:32:47,Aprendiendo Spark para procesar datos masivos,#bigdata
p0_00017,user_0046,2025-08-25 20:52:17,Tips de optimización en PySpark y particionado,#datascience
p0_00018,user_0038,2025-08-25 14:52:17,Delta y formatos columnares mejoran el rendimiento,#iot #datascience
p0_00019,user_0242,2025-08-25 12:46:45,Aprendiendo Spark para procesar datos masivos,#nlp #mlops #etl
p0_00020,user_0084,2025-08-25 19:34:46,Optimización con broadcast joins y cache,#bigdata #python #analytics
p0_00021,user_0041,2025-08-25 21:32:46,Orquestación de pipelines con Airflow,#ai #delta
p0_00022,user_0150,2025-08-25 10:39:37,Checkpointing y tolerancia a fallos en streaming,#analytics #python
p0_00023,user_0265,2025-08-25 14:08:53,Tips de optimización en PySpark y particionado,#gpu #iot #etl
p0_00024,user_0233,2025-08-25 10:28:33,Probando UDFs y funciones ventana en Spark SQL,#opensource
p0_00025,user_0231,2025-08-25 21:28:27,ML y NLP avanzan cada semana,#datascience #ai
p0_00026,user_0264,2025-08-25 17:24:31,Delta y formatos columnares mejoran el rendimiento,#delta #etl
p0_00027,user_0116,2025-08-25 14:43:02,Optimización con broadcast joins y cache,#bigdata #streaming
p0_00028,user_0105,2025-08-25 12:25:40,Optimización con broadcast joins y cache,#iot #streaming
p0_00029,user_0101,2025-08-25 09:27:46,Delta y formatos columnares mejoran el rendimiento,#datascience #streaming
p0_00030,user_0044,2025-08-25 12:12:14,Estrategias para detectar tendencias en redes,#nlp
p0_00031,user_0274,2025-08-25 10:25:46,¿Cuál es tu librería favorita para ETL?,#hadoop #devops
p0_00032,user_0132,2025-08-25 08:30:49,Comparando Parquet vs CSV en data lakes,#gpu #hadoop #python
p0_00033,user_0065,2025-08-25 17:07:30,Estrategias para detectar tendencias en redes,#devops #hadoop #streaming
p0_00034,user_0027,2025-08-25 10:13:36,Arquitecturas de datos modernas en la nube,#analytics #mlops #python
p0_00035,user_0176,2025-08-25 16:10:28,Checkpointing y tolerancia a fallos en streaming,#streaming #iot
p0_00036,user_0213,2025-08-25 09:08:12,Buenas prácticas en pipelines distribuidos,#streaming
